thr=157 S/D~=157 wchan=[('futex_wait', 148), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@0%, GenerateChunks@0%, ChunkRegenerati@0%]
thr=157 S/D~=154 wchan=[('futex_wait', 146), ('0', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@88%, GenerateChunks@55%, ChunkRegenerati@20%]
thr=153 S/D~=150 wchan=[('futex_wait', 142), ('0', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@88%, GenerateChunks@27%, ChunkRegenerati@20%]
thr=157 S/D~=154 wchan=[('futex_wait', 146), ('0', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@90%, GenerateChunks@53%, ChunkRegenerati@23%]
thr=157 S/D~=154 wchan=[('futex_wait', 147), ('__x64_sys_epoll_wait', 3), ('0', 2)] top=[7DaysToDieServe@91%, GenerateChunks@56%, ChunkRegenerati@21%]
thr=165 S/D~=163 wchan=[('futex_wait', 155), ('__x64_sys_epoll_wait', 3), ('0', 2)] top=[7DaysToDieServe@68%, GenerateChunks@31%, ChunkRegenerati@12%]
thr=161 S/D~=158 wchan=[('futex_wait', 149), ('0', 4), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@80%, GenerateChunks@78%, ChunkRegenerati@26%]
thr=157 S/D~=155 wchan=[('futex_wait', 146), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@72%, GenerateChunks@67%, ChunkRegenerati@30%]
thr=161 S/D~=160 wchan=[('futex_wait', 152), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@61%, GenerateChunks@58%, ChunkRegenerati@53%]
thr=153 S/D~=150 wchan=[('futex_wait', 140), ('0', 5), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@74%, NCS_Writer_20_0@11%, ChunkRegenerati@10%]
thr=153 S/D~=152 wchan=[('futex_wait', 143), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@69%, ChunkRegenerati@8%, GenerateChunks@3%]
thr=149 S/D~=145 wchan=[('futex_wait', 138), ('0', 4), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@70%, GenerateChunks@63%, ChunkRegenerati@38%]
thr=157 S/D~=156 wchan=[('futex_wait', 148), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@75%, GenerateChunks@59%, ChunkRegenerati@53%]
thr=157 S/D~=155 wchan=[('futex_wait', 147), ('__x64_sys_epoll_wait', 3), ('0', 2)] top=[7DaysToDieServe@66%, GenerateChunks@51%, ChunkRegenerati@45%]
thr=161 S/D~=159 wchan=[('futex_wait', 149), ('0', 4), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@71%, ChunkRegenerati@16%, GenerateChunks@9%]
thr=161 S/D~=160 wchan=[('futex_wait', 152), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@78%, GenerateChunks@37%, ChunkRegenerati@15%]
thr=157 S/D~=156 wchan=[('futex_wait', 148), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@79%, GenerateChunks@41%, ChunkRegenerati@17%]
thr=161 S/D~=160 wchan=[('futex_wait', 141), ('hrtimer_nanosleep', 14), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@67%, GenerateChunks@33%, ChunkRegenerati@15%]
thr=153 S/D~=151 wchan=[('futex_wait', 143), ('__x64_sys_epoll_wait', 3), ('0', 2)] top=[7DaysToDieServe@59%, GenerateChunks@34%, ChunkRegenerati@15%]
thr=145 S/D~=143 wchan=[('futex_wait', 134), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@66%, ChunkRegenerati@9%, GenerateChunks@8%]
thr=149 S/D~=145 wchan=[('futex_wait', 137), ('0', 4), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@60%, GenerateChunks@59%, ChunkRegenerati@35%]
thr=153 S/D~=150 wchan=[('futex_wait', 141), ('0', 4), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@55%, GenerateChunks@55%, ChunkRegenerati@37%]
