thr=128 S/D~=127 wchan=[('futex_wait', 119), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@0%, GenerateChunks@0%, ChunkRegenerati@0%]
thr=128 S/D~=127 wchan=[('futex_wait', 119), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@38%, GenerateChunks@22%, ChunkRegenerati@14%]
thr=128 S/D~=127 wchan=[('futex_wait', 119), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@39%, Job.Worker 1@2%, Job.Worker 2@2%]
thr=128 S/D~=128 wchan=[('futex_wait', 118), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@40%, ChunkRegenerati@23%, GenerateChunks@22%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@34%, SaveChunks /hom@2%, Job.Worker 9@2%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@32%, Job.Worker 1@2%, Job.Worker 2@1%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@30%, Job.Worker 4@2%, Job.Worker 11@2%]
thr=128 S/D~=127 wchan=[('futex_wait', 118), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@31%, SaveChunks /hom@1%, Job.Worker 3@1%]
thr=128 S/D~=128 wchan=[('futex_wait', 119), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@36%, GenerateChunks@20%, ChunkRegenerati@14%]
thr=128 S/D~=128 wchan=[('futex_wait', 119), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@36%, Thread Pool Wor@7%, Job.Worker 4@2%]
thr=128 S/D~=127 wchan=[('futex_wait', 119), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@41%, GenerateChunks@24%, ChunkRegenerati@20%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@35%, ChunkRegenerati@3%, ChunkCalc@2%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@31%, Job.Worker 2@2%, Job.Worker 3@2%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@29%, Job.Worker 1@2%, Job.Worker 4@2%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@31%, Job.Worker 5@2%, Job.Worker 2@1%]
thr=128 S/D~=127 wchan=[('futex_wait', 119), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@33%, Job.Worker 1@2%, ChunkRegenerati@1%]
thr=128 S/D~=127 wchan=[('futex_wait', 119), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@39%, GenerateChunks@21%, ChunkRegenerati@9%]
thr=128 S/D~=127 wchan=[('futex_wait', 119), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@35%, Job.Worker 1@2%, Job.Worker 11@2%]
thr=128 S/D~=127 wchan=[('futex_wait', 119), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@34%, Job.Worker 2@2%, Job.Worker 17@2%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@32%, SaveChunks /hom@2%, Job.Worker 1@2%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@30%, Job.Worker 2@2%, GenerateChunks@1%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@29%, Job.Worker 14@2%, Job.Worker 1@1%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@32%, Job.Worker 5@2%, GenerateChunks@1%]
thr=128 S/D~=126 wchan=[('futex_wait', 118), ('__x64_sys_epoll_wait', 3), ('0', 2)] top=[7DaysToDieServe@33%, Job.Worker 1@2%, Job.Worker 8@2%]
thr=128 S/D~=127 wchan=[('futex_wait', 119), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@35%, GenerateChunks@20%, ChunkRegenerati@7%]
thr=129 S/D~=129 wchan=[('futex_wait', 120), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@45%, Job.Worker 1@2%, Job.Worker 2@2%]
thr=129 S/D~=129 wchan=[('futex_wait', 120), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@45%, GenerateChunks@24%, ChunkRegenerati@22%]
thr=125 S/D~=125 wchan=[('futex_wait', 116), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@44%, ChunkRegenerati@4%, ChunkCalc@2%]
thr=125 S/D~=125 wchan=[('futex_wait', 116), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@32%, Job.Worker 1@2%, Job.Worker 2@1%]
thr=125 S/D~=125 wchan=[('futex_wait', 116), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@35%, Job.Worker 2@2%, GenerateChunks@1%]
wrote /home/maci/Desktop/7dtd/7dtd-loadgen/workspace/bench/lap1/horde-lite/apm/session_20260822_085321_pid855510/threads/threads.jsonl
