thr=126 S/D~=126 wchan=[('futex_wait', 117), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@0%, Loading.Preload@0%, GenerateChunks@0%]
thr=126 S/D~=124 wchan=[('futex_wait', 116), ('__x64_sys_epoll_wait', 3), ('0', 2)] top=[7DaysToDieServe@56%, GenerateChunks@51%, ChunkRegenerati@6%]
thr=126 S/D~=122 wchan=[('futex_wait', 115), ('0', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@32%, ChunkCalc@4%, ChunkRegenerati@1%]
thr=126 S/D~=125 wchan=[('futex_wait', 117), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@36%, Loading.Preload@15%, ChunkCalc@3%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@38%, SaveChunks /hom@5%, ChunkRegenerati@3%]
thr=122 S/D~=121 wchan=[('futex_wait', 113), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@41%, Job.Worker 1@1%, Job.Worker 3@1%]
thr=122 S/D~=120 wchan=[('futex_wait', 112), ('__x64_sys_epoll_wait', 3), ('0', 2)] top=[7DaysToDieServe@42%, Job.Worker 1@1%, Job.Worker 2@1%]
thr=126 S/D~=124 wchan=[('futex_wait', 116), ('__x64_sys_epoll_wait', 3), ('0', 2)] top=[7DaysToDieServe@44%, Job.Worker 6@2%, ChunkRegenerati@1%]
thr=126 S/D~=126 wchan=[('futex_wait', 117), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[GenerateChunks@49%, 7DaysToDieServe@38%, NCS_Writer_0_0@5%]
thr=126 S/D~=126 wchan=[('futex_wait', 117), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@39%, ChunkRegenerati@5%, ChunkCalc@5%]
thr=126 S/D~=124 wchan=[('futex_wait', 116), ('__x64_sys_epoll_wait', 3), ('0', 2)] top=[7DaysToDieServe@51%, GenerateChunks@24%, ChunkCalc@3%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@65%, ChunkRegenerati@9%, ChunkCalc@2%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@41%, Job.Worker 2@1%, SaveChunks /hom@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@27%, Job.Worker 12@2%, Job.Worker 1@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@25%, Thread Pool Wor@7%, Job.Worker 2@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@30%, Job.Worker 1@1%, Job.Worker 3@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@28%, ChunkRegenerati@1%, Job.Worker 1@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@28%, Job.Worker 3@2%, GenerateChunks@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@28%, Job.Worker 16@2%, Job.Worker 2@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@36%, Job.Worker 1@2%, Job.Worker 2@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@35%, Job.Worker 2@1%, ChunkCalc@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@28%, ChunkRegenerati@1%, Job.Worker 1@1%]
thr=121 S/D~=121 wchan=[('futex_wait', 112), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@40%, Job.Worker 23@2%, Job.Worker 2@1%]
thr=121 S/D~=120 wchan=[('futex_wait', 112), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@40%, Job.Worker 1@2%, Job.Worker 9@2%]
thr=121 S/D~=121 wchan=[('futex_wait', 112), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@43%, Job.Worker 3@1%, Job.Worker 5@1%]
thr=120 S/D~=120 wchan=[('futex_wait', 111), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@26%, ChunkRegenerati@1%, Job.Worker 1@1%]
thr=120 S/D~=120 wchan=[('futex_wait', 111), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@28%, Job.Worker 1@1%, Job.Worker 2@1%]
thr=120 S/D~=120 wchan=[('futex_wait', 111), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@34%, Job.Worker 2@1%, Job.Worker 3@1%]
thr=120 S/D~=120 wchan=[('futex_wait', 111), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@52%, Job.Worker 10@2%, Job.Worker 1@1%]
thr=120 S/D~=120 wchan=[('futex_wait', 111), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@26%, GenerateChunks@1%, Job.Worker 1@1%]
wrote /home/maci/Desktop/7dtd/7dtd-loadgen/workspace/bench/lap1/join-fast/apm/session_20260822_084745_pid855510/threads/threads.jsonl
