thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@0%, Loading.Preload@0%, GenerateChunks@0%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@35%, GenerateChunks@24%, ChunkRegenerati@1%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@32%, Job.Worker 1@2%, ChunkRegenerati@1%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@32%, GenerateChunks@23%, ChunkRegenerati@8%]
thr=120 S/D~=120 wchan=[('futex_wait', 111), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@36%, ChunkRegenerati@1%, Job.Worker 1@1%]
thr=119 S/D~=119 wchan=[('futex_wait', 110), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@34%, Job.Worker 1@1%, Job.Worker 4@1%]
thr=119 S/D~=118 wchan=[('futex_wait', 110), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@35%, GenerateChunks@1%, ChunkRegenerati@1%]
thr=123 S/D~=122 wchan=[('futex_wait', 114), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@36%, Job.Worker 3@2%, Job.Worker 7@2%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[GenerateChunks@62%, 7DaysToDieServe@37%, ChunkRegenerati@3%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@56%, ChunkCalc@3%, ChunkRegenerati@2%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@29%, ChunkCalc@4%, Job.Worker 2@2%]
thr=120 S/D~=119 wchan=[('futex_wait', 111), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@32%, SaveChunks /hom@4%, Job.Worker 1@2%]
thr=120 S/D~=119 wchan=[('futex_wait', 111), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@28%, Job.Worker 5@1%, Job.Worker 8@1%]
thr=120 S/D~=120 wchan=[('futex_wait', 111), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@36%, Job.Worker 2@2%, ChunkRegenerati@1%]
thr=120 S/D~=120 wchan=[('futex_wait', 111), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@27%, IPC:CSteamEngin@2%, ChunkRegenerati@1%]
thr=124 S/D~=124 wchan=[('futex_wait', 114), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@29%, Job.Worker 1@2%, SaveChunks /hom@1%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[GenerateChunks@52%, 7DaysToDieServe@32%, ChunkCalc@3%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@31%, ChunkCalc@4%, Job.Worker 1@2%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@33%, GenerateChunks@24%, ChunkRegenerati@4%]
thr=120 S/D~=119 wchan=[('futex_wait', 110), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@29%, ChunkRegenerati@5%, Job.Worker 20@2%]
thr=120 S/D~=120 wchan=[('futex_wait', 111), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@31%, Job.Worker 2@2%, Job.Worker 1@1%]
thr=120 S/D~=120 wchan=[('futex_wait', 111), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@27%, Job.Worker 3@1%, Job.Worker 4@1%]
thr=120 S/D~=120 wchan=[('futex_wait', 111), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@52%, ChunkRegenerati@1%, Job.Worker 1@1%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@32%, Job.Worker 1@1%, Job.Worker 2@1%]
thr=125 S/D~=124 wchan=[('futex_wait', 116), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@48%, GenerateChunks@22%, ChunkRegenerati@12%]
thr=125 S/D~=124 wchan=[('futex_wait', 113), ('0', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@37%, Job.Worker 3@2%, Job.Worker 7@2%]
thr=125 S/D~=124 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('0', 2)] top=[7DaysToDieServe@42%, GenerateChunks@24%, ChunkRegenerati@2%]
thr=121 S/D~=120 wchan=[('futex_wait', 112), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@34%, ChunkRegenerati@7%, Job.Worker 1@2%]
thr=121 S/D~=120 wchan=[('futex_wait', 112), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@31%, Job.Worker 2@1%, Job.Worker 3@1%]
thr=121 S/D~=120 wchan=[('futex_wait', 112), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@27%, ChunkRegenerati@1%, Job.Worker 1@1%]
