thr=120 S/D~=118 wchan=[('futex_wait', 110), ('__x64_sys_epoll_wait', 3), ('0', 2)] top=[7DaysToDieServe@0%, Loading.Preload@0%, GenerateChunks@0%]
thr=120 S/D~=119 wchan=[('futex_wait', 111), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@36%, GenerateChunks@1%, ChunkRegenerati@1%]
thr=120 S/D~=119 wchan=[('futex_wait', 111), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@33%, Job.Worker 2@1%, Job.Worker 7@1%]
thr=120 S/D~=119 wchan=[('futex_wait', 111), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@32%, Job.Worker 1@2%, Job.Worker 4@1%]
thr=120 S/D~=118 wchan=[('futex_wait', 111), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@31%, Loading.Preload@2%, Job.Worker 3@2%]
thr=120 S/D~=119 wchan=[('futex_wait', 111), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@27%, Job.Worker 2@1%, Job.Worker 1@1%]
thr=120 S/D~=119 wchan=[('futex_wait', 111), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@43%, WaterSimulation@2%, ChunkRegenerati@1%]
thr=120 S/D~=119 wchan=[('futex_wait', 111), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@30%, Job.Worker 1@1%, Job.Worker 3@1%]
thr=120 S/D~=119 wchan=[('futex_wait', 111), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@28%, Job.Worker 2@1%, Job.Worker 1@1%]
thr=120 S/D~=120 wchan=[('futex_wait', 111), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@46%, Job.Worker 2@1%, Job.Worker 1@1%]
thr=120 S/D~=120 wchan=[('futex_wait', 111), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@30%, Job.Worker 3@1%, Job.Worker 4@1%]
thr=120 S/D~=119 wchan=[('futex_wait', 111), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@45%, Job.Worker 2@2%, ChunkRegenerati@1%]
thr=120 S/D~=119 wchan=[('futex_wait', 111), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@28%, Job.Worker 1@2%, Job.Worker 5@2%]
thr=120 S/D~=119 wchan=[('futex_wait', 111), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@28%, SaveChunks /hom@1%, Job.Worker 4@1%]
