thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@0%, Loading.Preload@0%, GenerateChunks@0%]
thr=124 S/D~=123 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[GenerateChunks@65%, 7DaysToDieServe@54%, ChunkRegenerati@7%]
thr=126 S/D~=126 wchan=[('futex_wait', 117), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@38%, Thread Pool Wor@5%, ChunkCalc@4%]
thr=126 S/D~=126 wchan=[('futex_wait', 117), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@38%, GenerateChunks@26%, ChunkRegenerati@9%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@37%, SaveChunks /hom@2%, ChunkRegenerati@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@33%, Job.Worker 5@2%, ChunkRegenerati@1%]
thr=122 S/D~=121 wchan=[('futex_wait', 113), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@44%, Job.Worker 1@1%, SaveChunks /hom@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@36%, SaveChunks /hom@1%, Job.Worker 8@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@33%, Job.Worker 2@2%, Job.Worker 1@2%]
thr=122 S/D~=121 wchan=[('futex_wait', 113), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@45%, Job.Worker 0@2%, Loading.Preload@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@40%, Job.Worker 1@1%, Job.Worker 3@1%]
thr=122 S/D~=120 wchan=[('futex_wait', 113), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@47%, Job.Worker 2@2%, Job.Worker 6@2%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@32%, Job.Worker 21@2%, ChunkRegenerati@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@29%, ChunkRegenerati@1%, Job.Worker 2@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@32%, Job.Worker 24@2%, Job.Worker 1@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@34%, Job.Worker 15@2%, Job.Worker 2@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@31%, Job.Worker 16@2%, Job.Worker 1@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@30%, Job.Worker 7@2%, LogicThread@2%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@39%, Job.Worker 2@2%, ChunkRegenerati@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@40%, GenerateChunks@1%, Job.Worker 1@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@39%, ChunkRegenerati@1%, Job.Worker 2@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@32%, Job.Worker 6@2%, Job.Worker 1@1%]
thr=123 S/D~=123 wchan=[('futex_wait', 114), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@63%, Job.Worker 18@2%, Job.Worker 19@2%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@30%, Job.Worker 14@2%, ChunkRegenerati@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@31%, GenerateChunks@1%, Job.Worker 2@1%]
thr=123 S/D~=122 wchan=[('futex_wait', 114), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@40%, Thread Pool Wor@6%, Job.Worker 2@2%]
thr=123 S/D~=122 wchan=[('futex_wait', 114), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@43%, Job.Worker 1@1%, SaveChunks /hom@1%]
thr=123 S/D~=122 wchan=[('futex_wait', 114), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@29%, ChunkRegenerati@1%, Job.Worker 2@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@52%, Job.Worker 4@1%, Job.Worker 5@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@30%, Job.Worker 1@2%, Job.Worker 6@2%]
wrote /home/maci/Desktop/7dtd/7dtd-loadgen/workspace/bench/lap1/probe-15s/apm/session_20260822_084704_pid855510/threads/threads.jsonl
