thr=133 S/D~=132 wchan=[('futex_wait', 124), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@0%, GenerateChunks@0%, ChunkRegenerati@0%]
thr=133 S/D~=132 wchan=[('futex_wait', 122), ('0', 3), ('__x64_sys_epoll_wait', 3)] top=[GenerateChunks@50%, 7DaysToDieServe@48%, ChunkRegenerati@23%]
thr=133 S/D~=132 wchan=[('futex_wait', 124), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@44%, ChunkRegenerati@4%, SaveChunks /hom@2%]
thr=133 S/D~=130 wchan=[('futex_wait', 122), ('0', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@45%, ChunkRegenerati@39%, GenerateChunks@36%]
thr=125 S/D~=125 wchan=[('futex_wait', 116), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@42%, Loading.Preload@6%, ChunkRegenerati@3%]
thr=125 S/D~=125 wchan=[('futex_wait', 116), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@32%, ChunkCalc@1%, Job.Worker 1@1%]
thr=125 S/D~=125 wchan=[('futex_wait', 116), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@28%, Job.Worker 5@1%, Job.Worker 6@1%]
thr=132 S/D~=131 wchan=[('futex_wait', 121), ('hrtimer_nanosleep', 4), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@33%, Job.Worker 1@2%, Job.Worker 2@2%]
thr=133 S/D~=132 wchan=[('futex_wait', 123), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[GenerateChunks@49%, 7DaysToDieServe@40%, ChunkRegenerati@16%]
thr=133 S/D~=133 wchan=[('futex_wait', 123), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@38%, GenerateChunks@5%, ChunkRegenerati@2%]
thr=133 S/D~=129 wchan=[('futex_wait', 121), ('0', 4), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@35%, ChunkRegenerati@5%, GenerateChunks@4%]
thr=129 S/D~=127 wchan=[('futex_wait', 120), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@38%, ChunkRegenerati@28%, GenerateChunks@24%]
thr=125 S/D~=124 wchan=[('futex_wait', 116), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@31%, SaveChunks /hom@2%, Job.Worker 1@2%]
thr=125 S/D~=124 wchan=[('futex_wait', 116), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@26%, SaveChunks /hom@1%, Job.Worker 3@1%]
