thr=157 S/D~=156 wchan=[('futex_wait', 148), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@0%, GenerateChunks@0%, ChunkRegenerati@0%]
thr=165 S/D~=161 wchan=[('futex_wait', 152), ('0', 5), ('__x64_sys_epoll_wait', 3)] top=[GenerateChunks@82%, 7DaysToDieServe@78%, ChunkRegenerati@51%]
thr=153 S/D~=151 wchan=[('futex_wait', 143), ('__x64_sys_epoll_wait', 3), ('0', 2)] top=[7DaysToDieServe@77%, ChunkRegenerati@23%, NCS_Writer_1_0@8%]
thr=157 S/D~=156 wchan=[('futex_wait', 148), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@75%, ChunkRegenerati@6%, GenerateChunks@5%]
thr=153 S/D~=150 wchan=[('futex_wait', 142), ('0', 3), ('__x64_sys_epoll_wait', 3)] top=[GenerateChunks@85%, 7DaysToDieServe@84%, ChunkRegenerati@33%]
thr=153 S/D~=150 wchan=[('futex_wait', 141), ('0', 4), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@79%, GenerateChunks@47%, ChunkRegenerati@25%]
thr=161 S/D~=157 wchan=[('futex_wait', 149), ('hrtimer_nanosleep', 3), ('0', 3)] top=[7DaysToDieServe@78%, GenerateChunks@30%, ChunkRegenerati@18%]
thr=161 S/D~=158 wchan=[('futex_wait', 150), ('0', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@75%, GenerateChunks@31%, ChunkRegenerati@20%]
thr=161 S/D~=160 wchan=[('futex_wait', 150), ('hrtimer_nanosleep', 4), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@74%, GenerateChunks@35%, ChunkRegenerati@22%]
thr=162 S/D~=161 wchan=[('futex_wait', 153), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@70%, GenerateChunks@37%, ChunkRegenerati@16%]
thr=158 S/D~=157 wchan=[('futex_wait', 149), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@71%, ChunkRegenerati@19%, NCS_Writer_20_0@11%]
thr=150 S/D~=149 wchan=[('futex_wait', 141), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@65%, GenerateChunks@47%, ChunkRegenerati@25%]
thr=154 S/D~=153 wchan=[('futex_wait', 145), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@49%, GenerateChunks@8%, NCS_Writer_9_0@8%]
thr=158 S/D~=155 wchan=[('futex_wait', 147), ('0', 3), ('__x64_sys_epoll_wait', 3)] top=[GenerateChunks@80%, ChunkRegenerati@60%, 7DaysToDieServe@58%]
thr=154 S/D~=150 wchan=[('futex_wait', 141), ('0', 5), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@66%, ChunkRegenerati@13%, NCS_Writer_1_0@10%]
