thr=129 S/D~=129 wchan=[('futex_wait', 120), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@0%, GenerateChunks@0%, ChunkRegenerati@0%]
thr=129 S/D~=128 wchan=[('futex_wait', 120), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@49%, GenerateChunks@22%, ChunkRegenerati@15%]
thr=129 S/D~=128 wchan=[('futex_wait', 120), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@39%, Job.Worker 1@2%, Job.Worker 5@2%]
thr=129 S/D~=129 wchan=[('futex_wait', 120), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@43%, ChunkRegenerati@25%, GenerateChunks@21%]
thr=125 S/D~=125 wchan=[('futex_wait', 116), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@33%, SaveChunks /hom@2%, Job.Worker 3@2%]
thr=125 S/D~=125 wchan=[('futex_wait', 116), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@30%, Job.Worker 8@2%, Job.Worker 1@1%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@30%, Job.Worker 15@2%, SaveChunks /hom@1%]
thr=128 S/D~=127 wchan=[('futex_wait', 118), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@32%, Thread Pool Wor@7%, Job.Worker 2@1%]
thr=128 S/D~=125 wchan=[('futex_wait', 119), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@38%, GenerateChunks@20%, ChunkRegenerati@8%]
thr=128 S/D~=128 wchan=[('futex_wait', 119), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@35%, Job.Worker 2@2%, Job.Worker 4@2%]
thr=128 S/D~=128 wchan=[('futex_wait', 119), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@35%, ChunkRegenerati@2%, Job.Worker 1@2%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@34%, SaveChunks /hom@2%, ChunkRegenerati@1%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@30%, Job.Worker 1@2%, Job.Worker 6@2%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@29%, Job.Worker 2@2%, Job.Worker 4@1%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@30%, SaveChunks /hom@1%, Job.Worker 1@1%]
thr=128 S/D~=128 wchan=[('futex_wait', 119), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@30%, Job.Worker 7@2%, Job.Worker 16@2%]
thr=128 S/D~=113 wchan=[('futex_wait', 106), ('0', 14), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@35%, GenerateChunks@20%, ChunkRegenerati@11%]
thr=128 S/D~=128 wchan=[('futex_wait', 119), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@33%, Job.Worker 1@2%, Job.Worker 2@2%]
thr=128 S/D~=127 wchan=[('futex_wait', 118), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@34%, ChunkRegenerati@2%, Job.Worker 22@2%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@32%, SaveChunks /hom@3%, Job.Worker 6@2%]
