thr=126 S/D~=125 wchan=[('futex_wait', 117), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@0%, Loading.Preload@0%, GenerateChunks@0%]
thr=126 S/D~=126 wchan=[('futex_wait', 117), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@46%, GenerateChunks@31%, ChunkRegenerati@8%]
thr=126 S/D~=126 wchan=[('futex_wait', 117), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@45%, ChunkRegenerati@2%, Job.Worker 1@2%]
thr=126 S/D~=126 wchan=[('futex_wait', 117), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@54%, GenerateChunks@27%, ChunkRegenerati@9%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@60%, ChunkRegenerati@3%, SaveChunks /hom@2%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@49%, GenerateChunks@1%, Job.Worker 1@1%]
thr=122 S/D~=121 wchan=[('futex_wait', 113), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@37%, Job.Worker 7@2%, Job.Worker 2@1%]
thr=126 S/D~=126 wchan=[('futex_wait', 117), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@55%, Job.Worker 1@2%, ChunkRegenerati@1%]
thr=126 S/D~=120 wchan=[('futex_wait', 115), ('0', 6), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@48%, GenerateChunks@38%, NCS_Writer_0_0@10%]
thr=126 S/D~=125 wchan=[('futex_wait', 117), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@51%, GenerateChunks@31%, ChunkRegenerati@7%]
thr=126 S/D~=125 wchan=[('futex_wait', 116), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@43%, GenerateChunks@18%, ChunkCalc@5%]
thr=124 S/D~=122 wchan=[('futex_wait', 114), ('__x64_sys_epoll_wait', 3), ('0', 2)] top=[7DaysToDieServe@41%, ChunkRegenerati@9%, GenerateChunks@7%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@38%, Job.Worker 1@1%, Job.Worker 2@1%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@32%, Thread Pool Wor@7%, Job.Worker 1@1%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@33%, ChunkRegenerati@2%, Job.Worker 1@1%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@36%, Job.Worker 28@2%, Job.Worker 1@1%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@32%, Job.Worker 2@2%, GenerateChunks@1%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@61%, Job.Worker 20@2%, Job.Worker 1@1%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@41%, Job.Worker 1@1%, Job.Worker 2@1%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@39%, ChunkRegenerati@1%, Job.Worker 1@1%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@35%, Job.Worker 7@2%, GenerateChunks@1%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@38%, Job.Worker 6@2%, ChunkRegenerati@1%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@50%, Job.Worker 1@2%, Job.Worker 5@1%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@52%, ChunkRegenerati@1%, Job.Worker 2@1%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@31%, Job.Worker 20@2%, Job.Worker 1@1%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@28%, Job.Worker 2@2%, Job.Worker 1@1%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@30%, Job.Worker 4@1%, Job.Worker 5@1%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@58%, Job.Worker 1@2%, ChunkRegenerati@1%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@34%, Job.Worker 1@1%, SaveChunks /hom@1%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@44%, Job.Worker 2@2%, Job.Worker 3@2%]
wrote /home/maci/Desktop/7dtd/7dtd-loadgen/workspace/bench/lap2/join-fast/apm/session_20260822_090317_pid887601/threads/threads.jsonl
