thr=118 S/D~=117 wchan=[('futex_wait', 109), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@0%, Loading.Preload@0%, GenerateChunks@0%]
thr=123 S/D~=121 wchan=[('futex_wait', 113), ('__x64_sys_epoll_wait', 3), ('0', 2)] top=[7DaysToDieServe@35%, GenerateChunks@18%, Job.Worker 4@2%]
thr=126 S/D~=125 wchan=[('futex_wait', 117), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@41%, GenerateChunks@33%, ChunkRegenerati@6%]
thr=126 S/D~=125 wchan=[('futex_wait', 117), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@34%, ChunkCalc@3%, Job.Worker 2@2%]
thr=126 S/D~=126 wchan=[('futex_wait', 117), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@38%, Loading.Preload@15%, ChunkCalc@2%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@29%, SaveChunks /hom@4%, Job.Worker 1@2%]
thr=122 S/D~=120 wchan=[('futex_wait', 111), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@43%, Job.Worker 3@1%, Job.Worker 5@1%]
thr=122 S/D~=117 wchan=[('futex_wait', 107), ('0', 7), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@31%, ChunkRegenerati@1%, Job.Worker 2@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@29%, Job.Worker 7@2%, Job.Worker 1@1%]
thr=122 S/D~=121 wchan=[('futex_wait', 113), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@46%, ChunkCalc@1%, Job.Worker 2@1%]
thr=122 S/D~=118 wchan=[('futex_wait', 110), ('0', 4), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@32%, Job.Worker 1@1%, SaveChunks /hom@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@43%, Job.Worker 11@2%, GenerateChunks@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@31%, Job.Worker 1@1%, Job.Worker 3@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@29%, Job.Worker 2@2%, Job.Worker 4@2%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@30%, Job.Worker 30@2%, Job.Worker 1@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@32%, Job.Worker 8@2%, Job.Worker 2@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@28%, ChunkRegenerati@2%, Job.Worker 1@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@32%, Job.Worker 6@2%, Job.Worker 2@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@39%, Job.Worker 22@2%, Job.Worker 2@1%]
thr=122 S/D~=121 wchan=[('futex_wait', 113), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@42%, Job.Worker 1@1%, Job.Worker 4@1%]
thr=121 S/D~=118 wchan=[('futex_wait', 109), ('hrtimer_nanosleep', 3), ('0', 3)] top=[7DaysToDieServe@31%, Job.Worker 2@1%, Job.Worker 1@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@36%, Job.Worker 15@2%, ChunkRegenerati@1%]
thr=122 S/D~=121 wchan=[('futex_wait', 112), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@31%, Job.Worker 2@2%, Job.Worker 1@2%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@32%, GenerateChunks@1%, ChunkRegenerati@1%]
thr=121 S/D~=119 wchan=[('futex_wait', 111), ('__x64_sys_epoll_wait', 3), ('0', 2)] top=[7DaysToDieServe@45%, Job.Worker 2@1%, Job.Worker 1@1%]
thr=122 S/D~=121 wchan=[('futex_wait', 113), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@49%, Thread Pool Wor@11%, ChunkRegenerati@1%]
thr=122 S/D~=122 wchan=[('futex_wait', 113), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@40%, Job.Worker 1@2%, Job.Worker 2@1%]
thr=122 S/D~=121 wchan=[('futex_wait', 113), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@45%, Job.Worker 4@1%, SaveChunks /hom@1%]
thr=122 S/D~=121 wchan=[('futex_wait', 113), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@60%, Job.Worker 2@2%, Job.Worker 1@2%]
thr=122 S/D~=121 wchan=[('futex_wait', 113), ('__x64_sys_epoll_wait', 3), ('hrtimer_nanosleep', 2)] top=[7DaysToDieServe@28%, ChunkRegenerati@1%, Job.Worker 3@1%]
wrote /home/maci/Desktop/7dtd/7dtd-loadgen/workspace/bench/lap2/probe-15s/apm/session_20260822_090235_pid887601/threads/threads.jsonl
