thr=139 S/D~=137 wchan=[('futex_wait', 129), ('__x64_sys_epoll_wait', 3), ('0', 2)] top=[7DaysToDieServe@0%, GenerateChunks@0%, ChunkRegenerati@0%]
thr=139 S/D~=138 wchan=[('futex_wait', 129), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[GenerateChunks@87%, 7DaysToDieServe@62%, ChunkRegenerati@36%]
thr=139 S/D~=138 wchan=[('futex_wait', 130), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@61%, GenerateChunks@15%, ChunkRegenerati@6%]
thr=139 S/D~=139 wchan=[('futex_wait', 130), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@59%, ChunkRegenerati@41%, GenerateChunks@37%]
thr=123 S/D~=123 wchan=[('futex_wait', 114), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@43%, Thread Pool Wor@8%, ChunkRegenerati@7%]
thr=123 S/D~=123 wchan=[('futex_wait', 114), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@34%, Job.Worker 1@1%, Job.Worker 2@1%]
thr=123 S/D~=123 wchan=[('futex_wait', 114), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@31%, ChunkRegenerati@2%, ChunkCalc@1%]
thr=139 S/D~=137 wchan=[('futex_wait', 129), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@39%, Job.Worker 1@2%, Job.Worker 2@1%]
thr=140 S/D~=137 wchan=[('futex_wait', 130), ('__x64_sys_epoll_wait', 3), ('0', 2)] top=[GenerateChunks@69%, 7DaysToDieServe@53%, ChunkRegenerati@40%]
thr=140 S/D~=126 wchan=[('futex_wait', 118), ('0', 14), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@49%, GenerateChunks@44%, ChunkCalc@9%]
thr=140 S/D~=139 wchan=[('futex_wait', 129), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@56%, ChunkRegenerati@32%, GenerateChunks@29%]
thr=128 S/D~=128 wchan=[('futex_wait', 119), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@45%, ChunkRegenerati@5%, SaveChunks /hom@4%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@38%, BatchDeleteObje@3%, SaveChunks /hom@2%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@33%, Job.Worker 1@2%, Job.Worker 4@2%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@33%, ChunkRegenerati@1%, Job.Worker 3@1%]
thr=140 S/D~=138 wchan=[('futex_wait', 129), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@41%, ReceiveThread(2@2%, ChunkRegenerati@1%]
thr=140 S/D~=139 wchan=[('futex_wait', 128), ('hrtimer_nanosleep', 3), ('0', 3)] top=[7DaysToDieServe@66%, GenerateChunks@60%, ChunkRegenerati@27%]
thr=140 S/D~=140 wchan=[('futex_wait', 131), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@46%, ChunkRegenerati@3%, Job.Worker 1@2%]
thr=140 S/D~=139 wchan=[('futex_wait', 128), ('hrtimer_nanosleep', 3), ('0', 3)] top=[7DaysToDieServe@52%, GenerateChunks@36%, ChunkRegenerati@30%]
thr=132 S/D~=132 wchan=[('futex_wait', 123), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@46%, ChunkRegenerati@7%, SaveChunks /hom@3%]
thr=124 S/D~=124 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@36%, SaveChunks /hom@2%, Job.Worker 6@2%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@32%, Job.Worker 1@1%, Job.Worker 2@1%]
thr=124 S/D~=123 wchan=[('futex_wait', 115), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@33%, Job.Worker 26@2%, ChunkCalc@1%]
thr=132 S/D~=131 wchan=[('futex_wait', 123), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@36%, Job.Worker 5@2%, Job.Worker 10@2%]
thr=140 S/D~=139 wchan=[('futex_wait', 131), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@54%, GenerateChunks@49%, ChunkRegenerati@28%]
thr=140 S/D~=139 wchan=[('futex_wait', 131), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@50%, GenerateChunks@38%, ChunkRegenerati@9%]
thr=140 S/D~=139 wchan=[('futex_wait', 131), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@47%, GenerateChunks@32%, ChunkRegenerati@25%]
thr=133 S/D~=131 wchan=[('futex_wait', 124), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@47%, ChunkRegenerati@8%, GenerateChunks@3%]
thr=125 S/D~=124 wchan=[('futex_wait', 116), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@41%, SaveChunks /hom@2%, Job.Worker 3@2%]
thr=125 S/D~=124 wchan=[('futex_wait', 116), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@32%, ChunkRegenerati@1%, Job.Worker 1@1%]
wrote /home/maci/Desktop/7dtd/7dtd-loadgen/workspace/bench/lap2/soak-4bot/apm/session_20260822_090957_pid887601/threads/threads.jsonl
