thr=134 S/D~=132 wchan=[('futex_wait', 123), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@0%, GenerateChunks@0%, ChunkRegenerati@0%]
thr=134 S/D~=134 wchan=[('futex_wait', 125), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@52%, GenerateChunks@44%, ChunkRegenerati@18%]
thr=134 S/D~=133 wchan=[('futex_wait', 125), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@42%, ChunkRegenerati@3%, Job.Worker 2@2%]
thr=134 S/D~=132 wchan=[('futex_wait', 122), ('0', 3), ('__x64_sys_epoll_wait', 3)] top=[ChunkRegenerati@50%, 7DaysToDieServe@48%, GenerateChunks@33%]
thr=126 S/D~=126 wchan=[('futex_wait', 117), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@36%, ChunkRegenerati@4%, SaveChunks /hom@2%]
thr=126 S/D~=126 wchan=[('futex_wait', 117), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@30%, Job.Worker 7@2%, Job.Worker 26@2%]
thr=126 S/D~=126 wchan=[('futex_wait', 117), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@30%, Job.Worker 3@2%, Job.Worker 4@1%]
thr=134 S/D~=131 wchan=[('futex_wait', 123), ('0', 3), ('__x64_sys_epoll_wait', 3)] top=[7DaysToDieServe@48%, ChunkRegenerati@1%, SaveChunks /hom@1%]
thr=134 S/D~=134 wchan=[('futex_wait', 125), ('hrtimer_nanosleep', 3), ('__x64_sys_epoll_wait', 3)] top=[GenerateChunks@49%, 7DaysToDieServe@42%, ChunkRegenerati@19%]
thr=134 S/D~=133 wchan=[('futex_wait', 125), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@36%, ChunkRegenerati@4%, ChunkCalc@2%]
thr=134 S/D~=131 wchan=[('futex_wait', 125), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@42%, GenerateChunks@28%, ChunkRegenerati@25%]
thr=130 S/D~=129 wchan=[('futex_wait', 121), ('__x64_sys_epoll_wait', 3), ('__x64_sys_poll.cold', 2)] top=[7DaysToDieServe@42%, ChunkRegenerati@22%, ChunkCalc@2%]
